userid,username,headline,skill
1111,Eloy Dejoseph,"PHP Developer Job in Boston
","reports,Development Manager,Avamar,ARM,User Interface,CSS3,Buying,Websites,After Effects,Cognos"
1112,Hulda Tracey,"PHP Developer Job in Boston
","PowerPoint,JQuery,VMAX,R,Network Security"
1113,Ivette Arkenberg,"Pharmacy Technician Job in Irvine
","ForeSee,ICMP,HDFS,Bootstrap,Websites,AngularJS,ASP.NET,Adobe,CISSP,MIS a related IT field,PCI"
1114,Jinny Brunton,"Pharmacy Technician Job in Irvine
","Java,Computer Networks,firmware,Project Manager,Scientific Software"
1115,Lingyun Zhang,"Pharmacy Technician Job in Irvine
","Quality Center,SQL,digital analytics"
1116,Zella Voeller,"Pharmacy Technician Job in Irvine
","User Interface,Quality,Data Analytics,Cloud Computing,OpenStack,Angular JS,Visual Basic"
1117,Lilla Gillham,"Pharmacy Technician Job in Irvine
","API,Project Management,fashion,Go,COMPLIANCE,Rust,Operations Analysis,APL,Struts,Configuration Management,biotech,Rest,NodeJS"
1118,Fei Fei F. Li,"Pharmacy Technician Job in Irvine
","Agile,MACOSX"
1119,Francis R. Bach,"Pharmacy Technician Job in Irvine
","DL4J,Documentation,test design"
1120,Brittny Edgerton,"RN Weekend Supervisor
","UNIX/AIX,DB2,Micro,R,Angular JS,UX,HTML"
1121,Contessa Maleck,"RN Weekend Supervisor
","problem solving,Open CV,Linux System Admin,SQL Reporting Services Suite,VB.NET,Unix Systems Programming,SHELL,Critical Thinking,AP"
1122,Jose Principe,"RN Weekend Supervisor
","iOS,Lifecycle,Computer vision,HTTP,AR,Processor Design,iOS,TDD,Automated,Web"
1123,Kena Byerly,"RN Weekend Supervisor
","WebLogic,PMP,Development Manager,OIM,General Ledger,Pharma or Biotech,BW reporting,Database Management,Multithreading,Adobe,APL,Foundation,PCI"
1124,Hans Russell,"RN Weekend Supervisor
","Business Intelligence,CASE,SaaS solution Coupa,AngularJS,Angular JS,Spotfire,Developer,Automated,QA,Programming,Angular JS,Quality Center"
1125,Sharen Felts,"RN Weekend Supervisor
","Mortgage/Equiting Lending,Configuration Management"
1126,Delila Delcueto,"RN Weekend Supervisor
","JQuery,Network Engineering,Stored Procedures,Web Design,validation,staffing,Telecom"
1127,Zita Sivertson,"RN Weekend Supervisor
","APL,Architecture,JavaScript,AWS,Arduino,Algorithms,Data Storage,Design Patterns,VNF Manager,data analysts,SQL Server,synthesis modeling,Stored Procedures"
1128,Sue Etienne,"Paralegal Job in Knoxville
","Contract W2,Quality,Retail"
1129,Brent Bryan,"Paralegal Job in Knoxville
","Accounting,Analytical"
1130,Danita Ellermann,"Paralegal Job in Knoxville
","MS Office,Business Intelligence"
1131,Marceline Derenberger,"Regional HR Director  Job in Costa Mesa
","biotech,CISA,Big Data,FPGA,VB Script,Cisco UCS,Developer,JSP,Switches,SalesForce,EIT,.NET C#,BUILD RELEASE ENGINEER"
1132,Shawanda Pachelo,"Regional HR Director  Job in Costa Mesa
","Business Requirements,CSS3,Contract Independent,Keras,AUDIT,Text Analytics,SARBANES,Hive,Supply Chain,Networking,Map Reduce,Architecture"
1133,Tennille Pilotte,"Regional HR Director  Job in Costa Mesa
","OpenStack,OOP,JavaScript,Sybase,Cisco,CISM,BASH,Network Security,Manager,React,Ruby,Outlook,incident response"
1134,Juli Bonaguidi,"Pharmacy Informatics Analyst Specialist Job in Milwaukee
","Load/Performance Testing,Access,Mainframe,develop"
1135,Marceline Holdgrafer,"Crisis Masters Clinical Counselor Residential Job in Knoxville
","SQLITE,Mobile,deployment,Linux,Applications,Exchange,catalogs"
1136,Clementina Quilliam,"Crisis Masters Clinical Counselor Residential Job in Knoxville
","Retail,Mobile,Network,Programming,F#,Visual Basic,Web Server,SHELL,Adobe,Java Architect"
1137,Darius Blanchard,"Crisis Masters Clinical Counselor Residential Job in Knoxville
","Protocol,Full Time,Application Development,FINANCE,Performance,Micro,Fortran,Text Analytics,C/C++,Google,HDFS"
1138,Taren Ennels,"Crisis Masters Clinical Counselor Residential Job in Knoxville
","C/C++,Metrics,Fortran,Spring"
1139,Sandy Mangino,"Crisis Masters Clinical Counselor Residential Job in Knoxville
","Informatica Admin,Cognos,Linux System Admin,Middleware,Java Architect,Architecture,Testing,OpenCV"
1140,Jone Cobrin,"Crisis Masters Clinical Counselor Residential Job in Knoxville
","Cisco UCS,AngularJS,Management,SAP APO,IT Policy Procedures,ARM,CUSTOMER SUPPORT,Automated,Content Delivery Networks,Operations,IT Policy Procedures"
1141,Maile Mccahan,"Sales Manager Job in San Francisco
","MACOSX,SOX,BW reporting,selenium testing automation,SAP APO,MS Project Stadard,MAVEN,HAHA,OpenCV,MS Project Stadard,Network Engineering,SQL Reporting Services Suite,Operating Systems,especially C/C++,Protocol Management"
1142,Maple Tadgerson,"Sales Manager Job in San Francisco
","Web Developer,FICO,Web Design,XML,F#,SAP ERP,build,Regulated Environment,intense curiosity,MongoDB,System,Hive,Shell Script,AML,Testing"
1143,Erline Merksamer,"Complex Commercial Litigation Associate Job in Los Angeles
","CONTINUOUS INTEGRATION,AWS,Text Analytics,BUILD RELEASE ENGINEER,RESTful web services,TDD,TFS,Unix Systems Programming,User Interface,RESTful web services"
1144,Bryce Packer,"Complex Commercial Litigation Associate Job in Los Angeles
","Augmented Reality,JSP,Agile,Java Java EE,Business Intelligence,WCF,Informatica Admin,Sybase,Windows 7"
1145,Kayce Bernbeck,"NetOps Specialist Jr Government) Job in Arlington
","Scripts,SAP ERP"
1146,Samella Bookard,"NetOps Specialist Jr Government) Job in Arlington
","System Testing,Testing,Metrics,Django,Project coordinator,catalogs,DemPlanning,Primavera 6.0,Brocade,FICO,TFS,System Testing,AWS,Data Architecture,OOP"
1147,Allena Alegria,"NetOps Specialist Jr Government) Job in Arlington
","CISM,MVC,Test,Matlab,Gnuplot,Visual Studio,MS Office,CSS,Contract W2,C#,CONTINUOUS INTEGRATION,Consulting,Financial Services,Augmented Reality,Matlab"
1148,Hilary Palacious,"NetOps Specialist Jr Government) Job in Arlington
","biotech,Projects,Regulated Environment,BW reporting"
1149,Hoa Offenbacker,"NetOps Specialist Jr Government) Job in Arlington
","INTERNAL CONTROL,JQuery,ICMP,BASH,Node.js,Cognos,SQLITE,Documentation,MS Excel"
1150,Lauren Quiralte,"Associate Manager
","Lifecycle,JENKINS,PowerPoint,Bootstrap,OSS,data driven development,Web,Change Management,especially C/C++,UNIX/AIX,C C++,TFS,Operating Systems,System Testing"
1151,Nguyet Buccheri,"Associate Manager
","Project,CISM,NoSQL,Outlook,test design,VMware,Hon Java Developer,reports,Content Delivery Networks,Automated"
1152,Emmaline Dimery,"Associate Manager
","Data Storage,IIS,HBase,HBase,Development Manager,OpenStack,Excel,Lawson Supply Chain"
1153,Lucien Chritton,"Associate Manager
","BW reporting,Java Architect"
1154,Zona Haakenson,"Associate Manager
","Testing,Development,digital analytics,WebSphere,Solaris,JSON,CENTOS,Europe Asia.,AWS,ICMP,DynamoDB,Citrix,CISM"
1155,Buena Bazzell,"Collections Specialist Job in North County San Diego
","Software Engineer,Tester,Info Sec,Retail,develop,Operations,C,Regulated Environment,SSL,BASIC,Microsoft Access,applications development"
1156,Asley Doxtator,"Collections Specialist Job in North County San Diego
","Flask,develop"
1157,Neoma Wysocki,"Collections Specialist Job in North County San Diego
","PyTorch,Architect,Telecommunications,Text Analytics,SQL Server,Business Analyst healthcare,Libraries"
1158,Jolynn Kilzer,"Collections Specialist Job in North County San Diego
","OpenStack,Android,SQL Server,Mortgage/Equiting Lending,HTML,Metrics,Scheduling,Modeling,Processor Design,staffing"
1159,Denise Overlie,"Senior Account Director Job in Cincinnati
","AP Technical Lead,Microsoft Office,Algorithms,Computer Organisation,Hibernate,Cisco UCS,UX,Networking,Full Time,DNS"
1160,Gisele Lagrange,"Food Prep Worker - Middle Tennessee St. Univ. Job in Murfreesboro
","SHELL,user training,PERFORCE,SAP ERP,Recruiter,Database,Adobe,Data Storage,Configuration Management,Testing"
1161,Chan Bursik,"Food Prep Worker - Middle Tennessee St. Univ. Job in Murfreesboro
","Spring,Theory of Computation"
1162,Princess Bombich,"Customer Care Representative Job in Charlotte
","Kinesis,Fortran,Web Server,SARBANES OXLEY,Scripts,business development"
1163,Brooke Beckford,"Customer Care Representative Job in Charlotte
","HDFS,Matlab,Computer,Tensorflow,Protocol,Business Analyst healthcare,Octave,R"
1164,Latashia Gorn,"Customer Care Representative Job in Charlotte
","QA Tester,selenium testing automation,Visual Studio,Data Mining,Wealth Management,3D,RHEL,System,Angular.JS"
1165,Romeo Fitzrandolph,"Customer Care Representative Job in Charlotte
","ARM,Augmented Reality,security accessment,Operating Systems,systems administration,Communication,SDLC,Wireless,Digital Design,HTML,Desktop,CASE,RESTful web services,Unity"
1166,Elaine Dobie,"Customer Care Representative Job in Charlotte
","Android,Performace Management,User Interface,Re-engineering,File Systems,System,Perl,Business Intelligence,Wireless Communication,PCI,Modeling"
1167,Barbar Harbeson,"Customer Care Representative Job in Charlotte
","Customer Service,Matlab"
1168,Melodee Eakin,"Customer Care Representative Job in Charlotte
","AP Technical Lead,QA Tester,MS Office,Network Management,React,Operations,Pharma or Biotech"
1169,Geoffrey Christoph,"Retail Commission Jewelry Sales
","Mainframe,Regulated Environment"
1170,Kendrick Neale,"Retail Commission Jewelry Sales
","ARM,3D,OS x,BANKING,PHP,Visual Basic,Scripts,Optimization,network monitoring,Business Analyst healthcare,API"
1171,Glenna Stebbins,"Director of Medical Management Job in Rancho Cordova
","FPGA,build,System,VMAX,Metrics,Sales,Analytical Skills"
1172,Jinny Pupa,"Director of Medical Management Job in Rancho Cordova
","Artificial Intelligence,PyTorch"
1173,Terina Sleger,"Director of Medical Management Job in Rancho Cordova
","FPGA,Data Structures,VBA,Operations,Accounting,pharma,Re-engineering,Configuration Management,HTML5,Struts,CRM,CASE,HTTP"
1174,Willia Misener,"Director of Medical Management Job in Rancho Cordova
","Excel,Foundation,Exchange,System,XML/XSL,develop,pharma,PCI,DemPlanning,Consumer Electronics Devices"
